;Sprite;Artist;Artist 2;QC;QC2;QC3
1;Beedrill;MultiDiegoDani;;leParagon;;
2;Raticate;RadicalCharizard;;leParagon;;
3;Alolan Raticate;RadicalCharizard;;leParagon;;
4;Fearow;MBCMechachu;;leParagon;;
5;Alolan Raichu;Acpeters;;MBCMechachu;;
6;Alolan Sandslash;Acpeters;;MBCMechachu;;
7;Alolan Ninetales;MBCMechachu;;Acpeters;;
8;Parasect;MBCMechachu;;leParagon;;
9;Alolan Dugtrio;MBCMechachu;;;;
10;Alolan Persian;MBCMechachu;;;;
11;Farfetch'd;RadicalCharizard;;Wolfang62;;
12;Muk;MBCMechachu;;leParagon;;
13;Alolan Muk;leParagon;;;;
14;Electrode;MBCMechachu;;RadicalCharizard;leParagon;
15;Lickitung;MBCMechachu;;leParagon;;
16;Chansey;MBCMechachu;;leParagon;;
17;Tangela;MBCMechachu;;leParagon;;
18;Seadra;MBCMechachu;;leParagon;;
19;Ditto;RadicalCharizard;;leParagon;;
20;Porygon;MBCMechachu;;leParagon;;
21;Mew;Wolfang62;;;;
22;Meganium;FlorianDX;;MultiDiegoDani;MBCMechachu;
23;Typhlosion;Wolfang62;;leParagon;;
24;Feraligatr;FlorianDX;;leParagon;;
25;Furret;FlorianDX;;MBCMechachu;leParagon;
26;Ledian;MultiDiegoDani;;leParagon;;
27;Ariados;MultiDiegoDani;;leParagon;;
28;Crobat;MBCMechachu;;leParagon;;
29;Togetic;MBCMechachu;;MultiDiegoDani;leParagon;
30;Ampharos;FlorianDX;;leParagon;;
31;Jumpluff;MBCMechachu;;TraviS;;
32;Aipom;MultiDiegoDani;;leParagon;;
33;Sunflora;MBCMechachu;;leParagon;;
34;Yanma;MultiDiegoDani;;leParagon;;
35;Murkrow;MBCMechachu;;MultiDiegoDani;leParagon;
36;Misdreavus;MBCMechachu;;leParagon;;
37;Unown;MBCMechachu;;;;
38;Girafarig;MBCMechachu;;leParagon;MultiDiegoDani;FlorianDX
39;Forretress;MBCMechachu;;MultiDiegoDani;leParagon;
40;Gligar;MultiDiegoDani;;leParagon;;
41;Granbull;MultiDiegoDani;;leParagon;;
42;Heracross;French-Cyndaquil;;;;
43;Sneasel;MultiDiegoDani;;MBCMechachu;leParagon;
44;Ursaring;Acpeters;;MBCMechachu;;
45;Magcargo;FlorianDX;;leParagon;;
46;Piloswine;MBCMechachu;;MultiDiegoDani;;
47;Corsola;MultiDiegoDani;;leParagon;;
48;Galarian Corsola;MultiDiegoDani;;leParagon;;
49;Skarmory;MBCMechachu;;leParagon;;
50;Houndoom;MBCMechachu;;leParagon;CarmaNekko;
51;Donphan;MBCMechachu;;leParagon;;
52;Stantler;MultiDiegoDani;;leParagon;;
53;Smeargle;MultiDiegoDani;;leParagon;;
54;Celebi;MBCMechachu;;Wolfang62;;
55;Mightyena;MultiDiegoDani;;;;
56;Linoone;MultiDiegoDani;;MBCMechachu;leParagon;
57;Galarian Linoone;MultiDiegoDani;;MBCMechachu;leParagon;
58;Beautifly;MultiDiegoDani;;leParagon;;
59;Dustox;MultiDiegoDani;;leParagon;;
60;Swellow;FlorianDX;;MBCMechachu;;
61;Masquerain;MBCMechachu;;leParagon;;
62;Breloom;MultiDiegoDani;;MBCMechachu;leParagon;
63;Slaking;FlorainDX;;;;
64;Hariyama;MBCMechachu;;;;
65;Nosepass;MBCMechachu;;;;
66;Delcatty;MBCMechachu;;;;
67;Medicham;MBCMechachu;;leParagon;;
68;Plusle;Wolfang62;;;;
69;Minun;Wolfang62;;;;
70;Volbeat;leParagon;;;;
71;Illumise;leParagon;;;;
72;Roselia;MBCMechachu;Zerudez;;;
73;Swalot;MBCMechachu;;;;
74;Camerupt;FlorainDX;;leParagon;;
75;Grumpig;Wolfang62;;MBCMechachu;;
76;Spinda;MBCMechachu;;;;
77;Cacturne;MultiDiegoDani;;MBCMechachu;;
78;Zangoose;MBCMechachu;;MultiDiegoDani;leParagon;
79;Seviper;FlorianDX;;MultiDiegoDani;leParagon;
80;Cradily;MultiDiegoDani;;leParagon;;
81;Castform Rainy, Sunny & Snowy;MBCMechachu;;;;
82;Kecleon;FlorianDX;;;;
83;Banette;leParagon;;;;
84;Dusclops;MultiDiegoDani;;;;
85;Tropius;FlorianDX;;MBCMechachu;MultiDiegoDani;
86;Chimecho;MultiDiegoDani;;;;
87;Huntail;FlorianDX;;MBCMechachu;;
88;Gorebyss;Wolfang62;;;;
89;Luvdisc;MBCMechachu;;;;
90;Salamence;MBCMechachu;;;;
91;Jirachi;Wolfang62;;;;
92;Deoxys;Wolfang62;;;;
93;Torterra;FlorainDX;;;;
94;Infernape;MBCMechachu;;leParagon;;
95;Empoleon;FlorianDX;;leParagon;;
96;Staraptor;Wolfang62;;TraviS;grand-emperor-z;
97;Bibarel;MultiDiegoDani;;;;
98;Kricketune;MBCMechachu;;leParagon;;
99;Luxray;MBCMechachu;;MBCMechachu;CarmaNekko;
100;Rampardos;MultiDiegoDani;;MBCMechachu;;
101;Bastiodon;MBCMechachu;;;;
102;Wormadam;MBCMechachu;;;;
103;Mothim;MBCMechachu;;;;
104;Pachirisu;Wolfang62;;MBCMechachu;;
105;Floatzel;MultiDiegoDani;;MBCMechachu;;
106;Ambipom;MBCMechachu;;MultiDiegoDani;;
107;Mismagius;FlorianDX;;MBCMechachu;leParagon;
108;Honchkrow;TraviS;Acpeters;MBCMechachu;;
109;Purugly;MultiDiegoDani;;MBCMechachu;leParagon;
110;Skuntank;FlorianDX;;MBCMechachu;;
111;Chatot;MBCMechachu;;leParagon;;
112;Carnivine;FlorianDX;;MBCMechachu;;
113;Lumineon;MultiDiegoDani;;;;
114;Rhyperior;MBCMechachu;;;;
115;Electivire;MBCMechachu;;;;
116;Magmortar;MBCMechachu;;;;
117;Yanmega;MultiDiegoDani;;;;
118;Gliscor;MBCMechachu;;leParagon;;
119;Phione;MultiDiegoDani;;;;
120;Manaphy;Wolfang62;;leParagon;;
121;Darkrai;MBCMechachu;;leParagon;;
122;Shaymin Land;MultiDiegoDani;;;;
123;Shaymin Sky;Wolfang62;;;;
124;Arceus;leParagon;;;;
125;Serperior;Wolfang62;;;;
126;Emboar;MultiDiegoDani;;leParagon;;
127;Samurott;MultiDiegoDani;;;;
128;Watchog;MBCMechachu;;leParagon;;
129;Simisage;MultiDiegoDani;;;;
130;Simisear;MultiDiegoDani;;;;
131;Simipour;MultiDiegoDani;;;;
132;Zebstrika;Wolfang62;;;;
133;Throh;MBCMechachu;;;;
134;Leavanny;MultiDiegoDani;;;;
136;Swanna;FlorianDX;;MultiDiegoDani;;
137;Sawsbuck;MultiDiegoDani;;MBCMechachu;Acpeters;
138;Alomomola;MultiDiegoDani;;MBCMechachu;;
139;Eelektross;MultiDiegoDani;;leParagon;;
140;Meloetta;MBCMechachu;;Wolfang62;;
141;Chesnaught;Wolfang62;;;;
142;Delphox;Wolfang62;;MBCMechachu;;
143;Greninja;Wolfang62;;MBCMechachu;;
144;Talonflame;MBCMechachu;;;;
145;Vivillon;MultiDiegoDani;;;;
146;Pyroar;Wolfang62;;;;
147;Florges;MultiDiegoDani;;;;
148;Furfrou;MultiDiegoDani;;;;
149;Aurorus;RadicalCharizard;;MBCMechachu;;
150;Carbink;MultiDiegoDani;;;;
151;Hoopa Confined;MBCMechachu;;MultiDiegoDani;;
152;Hoopa Unbound;FlorianDX;;leParagon;;
153;Toucannon;FlorianDX;;MBCMechachu;;
154;Gumshoos;FlorianDX;;MultiDiegoDani;leParagon;
